ID,Modalitat,Prioritat,Colla_ID,anys_sense_captura,adjudicats,nova_prioritat,nou_anys_sense_captura
1,A,3,Colla_1,0,0,2,1
2,A,3,Colla_1,0,1,4,0
3,A,3,Colla_1,0,1,4,0
4,A,3,Colla_1,0,0,2,1
5,A,3,Colla_1,0,1,4,0
6,A,3,Colla_1,0,1,4,0
7,A,3,Colla_1,0,1,4,0
8,A,3,Colla_1,0,1,4,0
9,A,3,Colla_1,0,0,2,1
10,A,3,Colla_2,0,0,2,1
11,A,3,Colla_2,0,1,4,0
12,A,3,Colla_2,0,0,2,1
13,A,3,Colla_2,0,1,4,0
14,A,3,Colla_2,0,1,4,0
15,A,3,Colla_2,0,1,4,0
16,A,3,Colla_2,0,0,2,1
17,A,3,Colla_2,0,0,2,1
18,A,3,Colla_2,0,1,4,0
19,A,3,Colla_2,0,0,2,1
20,A,3,Colla_2,0,1,4,0
21,A,3,Colla_2,0,1,4,0
22,A,3,Colla_2,0,1,4,0
23,A,3,Colla_2,0,1,4,0
24,A,3,Colla_2,0,1,4,0
25,A,3,Colla_3,0,1,4,0
26,A,3,Colla_3,0,0,2,1
27,A,3,Colla_3,0,0,2,1
28,A,3,Colla_3,0,0,2,1
29,A,3,Colla_3,0,1,4,0
30,A,3,Colla_3,0,1,4,0
31,A,3,Colla_3,0,1,4,0
32,A,3,Colla_3,0,1,4,0
33,A,3,Colla_3,0,1,4,0
34,A,3,Colla_3,0,0,2,1
35,A,3,Colla_3,0,1,4,0
36,A,3,Colla_3,0,1,4,0
37,A,3,Colla_3,0,0,2,1
38,A,3,Colla_3,0,1,4,0
39,A,3,Colla_3,0,1,4,0
40,A,3,Colla_4,0,1,4,0
41,A,3,Colla_4,0,0,2,1
42,A,3,Colla_4,0,0,2,1
43,A,3,Colla_4,0,1,4,0
44,A,3,Colla_4,0,0,2,1
45,A,3,Colla_4,0,1,4,0
46,A,3,Colla_4,0,1,4,0
47,A,3,Colla_4,0,1,4,0
48,A,3,Colla_4,0,1,4,0
49,A,3,Colla_5,0,1,4,0
50,A,3,Colla_5,0,0,2,1
51,A,3,Colla_5,0,1,4,0
52,A,3,Colla_5,0,1,4,0
53,A,3,Colla_5,0,0,2,1
54,A,3,Colla_5,0,1,4,0
55,A,3,Colla_5,0,1,4,0
56,A,3,Colla_5,0,0,2,1
57,A,3,Colla_5,0,1,4,0
58,A,3,Colla_5,0,1,4,0
59,A,3,Colla_5,0,0,2,1
60,A,3,Colla_5,0,0,2,1
61,A,3,Colla_5,0,1,4,0
62,A,3,Colla_5,0,1,4,0
63,A,3,Colla_5,0,1,4,0
64,A,3,Colla_5,0,1,4,0
65,A,3,Colla_5,0,1,4,0
66,A,3,Colla_5,0,0,2,1
67,A,3,Colla_5,0,0,2,1
68,A,3,Colla_6,0,1,4,0
69,A,3,Colla_6,0,1,4,0
70,A,3,Colla_6,0,1,4,0
71,A,3,Colla_6,0,1,4,0
72,A,3,Colla_6,0,0,2,1
73,A,3,Colla_6,0,0,2,1
