ID,Modalitat,Colla_ID,Prioritat,anys_sense_captura,adjudicats,nova_prioritat,nou_anys_sense_captura
1,A,Colla_1,4,0,0,2,1
2,A,Colla_1,2,1,1,4,0
3,A,Colla_1,4,0,0,2,1
4,A,Colla_1,4,0,0,2,1
5,A,Colla_1,2,1,1,4,0
6,A,Colla_1,4,0,0,2,1
7,A,Colla_1,2,1,1,4,0
8,A,Colla_1,2,2,1,4,0
9,A,Colla_1,4,0,0,2,1
10,A,Colla_1,4,0,0,2,1
11,A,Colla_1,2,1,0,2,2
12,A,Colla_1,2,1,0,2,2
13,A,Colla_1,4,0,0,2,1
14,A,Colla_1,2,2,1,4,0
15,A,Colla_1,2,2,1,4,0
16,A,Colla_1,4,0,0,2,1
17,A,Colla_1,2,1,0,2,2
18,A,Colla_1,2,2,1,4,0
19,A,Colla_1,2,1,1,4,0
20,A,Colla_1,2,1,0,2,2
21,A,Colla_2,4,0,0,2,1
22,A,Colla_2,2,1,1,4,0
23,A,Colla_2,4,0,0,2,1
24,A,TrackedColla_3,4,0,0,2,1
25,A,Colla_2,2,2,1,4,0
26,A,Colla_2,2,1,0,2,2
27,A,Colla_2,2,1,0,2,2
28,A,Colla_2,4,0,0,2,1
29,A,Colla_2,2,1,1,4,0
30,A,Colla_2,2,2,1,4,0
31,A,Colla_2,4,0,0,2,1
32,A,Colla_2,2,2,1,4,0
33,A,Colla_2,4,0,0,2,1
34,A,TrackedColla_3,2,1,0,2,2
35,A,Colla_2,4,0,0,2,1
36,A,Colla_2,2,2,1,4,0
37,A,Colla_2,2,2,1,4,0
38,A,Colla_2,4,0,0,2,1
39,A,Colla_2,2,1,0,2,2
40,A,Colla_2,2,1,0,2,2
41,A,Colla_3,2,1,0,2,2
42,A,Colla_3,2,1,1,4,0
43,A,Colla_3,4,0,0,2,1
44,A,Colla_3,4,0,0,2,1
45,A,Colla_3,2,2,1,4,0
46,A,Colla_3,2,1,0,2,2
47,A,Colla_3,4,0,0,2,1
48,A,Colla_3,4,0,0,2,1
49,A,Colla_3,2,1,0,2,2
50,A,Colla_3,2,2,1,4,0
51,A,TrackedColla_2,2,2,1,4,0
52,A,TrackedColla_3,4,0,0,2,1
53,A,Colla_3,2,1,0,2,2
54,A,Colla_3,4,0,0,2,1
55,A,Colla_3,2,2,1,4,0
56,A,Colla_3,2,1,1,4,0
57,A,Colla_3,4,0,0,2,1
58,A,Colla_3,4,0,0,2,1
59,A,Colla_3,2,2,1,4,0
60,A,Colla_4,4,0,0,2,1
61,A,Colla_4,4,0,0,2,1
62,A,Colla_4,2,1,1,4,0
63,A,Colla_4,2,2,1,4,0
64,A,Colla_4,2,1,0,2,2
65,A,Colla_4,2,1,1,4,0
66,A,Colla_4,2,1,0,2,2
67,A,Colla_4,2,2,1,4,0
68,A,Colla_4,2,1,0,2,2
69,A,Colla_4,4,0,0,2,1
70,A,Colla_4,2,2,1,4,0
71,A,Colla_4,2,1,0,2,2
72,A,Colla_4,4,0,0,2,1
73,A,Colla_4,4,0,0,2,1
74,A,Colla_4,2,2,1,4,0
75,A,Colla_4,4,0,0,2,1
76,A,Colla_5,2,2,1,4,0
77,A,Colla_5,2,1,0,2,2
78,A,Colla_5,4,0,0,2,1
79,A,Colla_5,2,1,0,2,2
80,A,Colla_5,2,2,1,4,0
81,A,Colla_5,2,2,1,4,0
82,A,TrackedColla_4,4,0,0,2,1
83,A,Colla_5,2,1,1,4,0
84,A,Colla_5,4,0,0,2,1
85,A,Colla_5,4,0,0,2,1
86,A,Colla_5,4,0,0,2,1
87,A,Colla_5,4,0,0,2,1
88,A,Colla_5,2,1,0,2,2
89,A,Colla_5,2,1,0,2,2
90,A,Colla_5,2,2,1,4,0
91,A,Colla_6,4,0,0,2,1
92,A,Colla_6,2,1,1,4,0
93,A,Colla_6,2,1,0,2,2
94,A,Colla_6,2,1,0,2,2
95,A,Colla_6,4,0,0,2,1
96,A,Colla_6,2,2,1,4,0
97,A,Colla_6,4,0,0,2,1
98,A,Colla_6,2,1,1,4,0
99,A,Colla_6,2,1,1,4,0
100,A,Colla_6,4,0,0,2,1
101,A,Colla_6,4,0,0,2,1
