ID;Modalitat;Prioritat;Colla_ID;anys_sense_captura
1;A;2;Colla_1;1
2;A;2;Colla_1;1
3;A;2;Colla_1;1
4;A;2;Colla_1;1
5;A;2;Colla_1;1
6;A;4;Colla_1;0
7;A;4;Colla_1;0
8;A;4;Colla_1;0
9;A;4;Colla_1;0
10;A;2;Colla_1;1
11;A;4;Colla_1;0
12;A;2;Colla_1;1
13;A;2;Colla_1;1
14;A;2;Colla_1;1
15;A;4;Colla_1;0
16;A;2;Colla_1;1
17;A;2;Colla_1;1
18;A;2;Colla_1;1
19;A;4;Colla_1;0
20;A;2;Colla_1;1
21;A;4;Colla_2;0
22;A;2;Colla_2;1
23;A;2;Colla_2;1
24;A;2;Colla_2;1
25;A;4;Colla_2;0
26;A;4;Colla_2;0
27;A;2;Colla_2;1
28;A;4;Colla_2;0
29;A;2;Colla_2;1
30;A;2;Colla_2;1
31;A;4;Colla_2;0
32;A;4;Colla_2;0
33;A;2;Colla_2;1
34;A;2;Colla_2;1
35;A;2;Colla_2;1
36;A;4;Colla_2;0
37;A;2;Colla_2;1
38;A;2;Colla_2;1
39;A;2;Colla_2;1
40;A;2;Colla_2;1
41;A;4;Colla_3;0
42;A;2;Colla_3;1
43;A;2;Colla_3;1
44;A;2;Colla_3;1
45;A;2;Colla_3;1
46;A;2;Colla_3;1
47;A;4;Colla_3;0
48;A;4;Colla_3;0
49;A;2;Colla_3;1
50;A;4;Colla_3;0
51;A;4;Colla_3;0
52;A;2;Colla_3;1
53;A;2;Colla_3;1
54;A;4;Colla_3;0
55;A;2;Colla_3;1
56;A;4;Colla_3;0
57;A;2;Colla_3;1
58;A;2;Colla_3;1
59;A;2;Colla_3;1
60;A;4;Colla_4;0
61;A;4;Colla_4;0
62;A;2;Colla_4;1
63;A;4;Colla_4;0
64;A;4;Colla_4;0
65;A;2;Colla_4;1
66;A;4;Colla_4;0
67;A;2;Colla_4;1
68;A;2;Colla_4;1
69;A;2;Colla_4;1
70;A;2;Colla_4;1
71;A;2;Colla_4;1
72;A;4;Colla_4;0
73;A;2;Colla_4;1
74;A;2;Colla_4;1
75;A;2;Colla_4;1
76;A;2;Colla_5;1
77;A;2;Colla_5;1
78;A;2;Colla_5;1
79;A;2;Colla_5;1
80;A;4;Colla_5;0
81;A;4;Colla_5;0
82;A;2;Colla_5;1
83;A;4;Colla_5;0
84;A;4;Colla_5;0
85;A;4;Colla_5;0
86;A;2;Colla_5;1
87;A;2;Colla_5;1
88;A;4;Colla_5;0
89;A;2;Colla_5;1
90;A;2;Colla_5;1
91;A;2;Colla_6;1
92;A;4;Colla_6;0
93;A;2;Colla_6;1
94;A;4;Colla_6;0
95;A;4;Colla_6;0
96;A;4;Colla_6;0
97;A;2;Colla_6;1
98;A;2;Colla_6;1
99;A;2;Colla_6;1
100;A;4;Colla_6;0
101;A;4;Colla_6;0
102;A;2;Colla_6;1
103;A;2;Colla_6;1
104;A;2;Colla_6;1
105;A;2;Colla_6;1
106;A;2;Colla_7;1
107;A;2;Colla_7;1
108;A;2;Colla_7;1
109;A;4;Colla_7;0
110;A;2;Colla_7;1
111;A;4;Colla_7;0
112;A;4;Colla_7;0
113;A;2;Colla_7;1
114;A;2;Colla_7;1
115;A;2;Colla_7;1
116;A;4;Colla_7;0
117;A;4;Colla_7;0
118;A;2;Colla_8;1
119;A;2;Colla_8;1
120;A;2;Colla_8;1
121;A;2;Colla_8;1
122;A;4;Colla_8;0
123;A;2;Colla_8;1
124;A;4;Colla_8;0
125;A;2;Colla_8;1
126;A;4;Colla_8;0
127;A;4;Colla_8;0
128;A;2;Colla_9;1
129;A;4;Colla_9;0
130;A;2;Colla_9;1
131;A;2;Colla_9;1
132;A;4;Colla_9;0
133;A;4;Colla_9;0
134;A;2;Colla_9;1
135;A;2;Colla_9;1
136;A;4;Colla_9;0
137;A;4;Colla_10;0
138;A;4;Colla_10;0
139;A;2;Colla_10;1
140;A;4;Colla_10;0
141;A;2;Colla_10;1
142;A;4;Colla_10;0
143;A;2;Colla_10;1
144;A;2;Colla_10;1
145;A;2;Colla_10;1
146;A;4;Colla_11;0
147;A;2;Colla_11;1
148;A;4;Colla_11;0
149;A;2;Colla_11;1
150;A;2;Colla_11;1
151;A;4;Colla_11;0
152;A;2;Colla_12;1
153;A;4;Colla_12;0
154;A;2;Colla_12;1
155;A;4;Colla_12;0
156;A;4;Colla_12;0
157;A;2;Colla_12;1
158;A;2;Colla_13;1
159;A;4;Colla_13;0
160;A;2;Colla_13;1
161;A;4;Colla_13;0
162;A;2;Colla_13;1
163;A;4;Colla_13;0
164;A;4;Colla_14;0
165;A;2;Colla_14;1
166;A;2;Colla_14;1
167;A;2;Colla_14;1
168;A;4;Colla_14;0
169;A;4;Colla_14;0
170;A;2;Colla_15;1
171;A;2;Colla_15;1
172;A;4;Colla_15;0
173;A;4;Colla_15;0
174;A;4;Colla_15;0
175;A;2;Colla_15;1
176;B;2;;1
177;B;4;;0
178;B;4;;0
179;B;2;;1
180;B;2;;1
181;B;2;;1
182;B;2;;1
183;B;4;;0
184;B;2;;1
185;B;2;;1
186;B;4;;0
187;B;2;;1
188;B;4;;0
189;B;4;;0
190;B;4;;0
191;B;4;;0
192;B;4;;0
193;B;4;;0
194;B;2;;1
195;B;2;;1
196;B;4;;0
197;B;2;;1
198;B;2;;1
199;B;4;;0
200;B;2;;1
201;B;4;;0
202;B;2;;1
203;B;4;;0
204;B;2;;1
205;B;2;;1
206;B;2;;1
207;B;2;;1
208;B;4;;0
209;B;4;;0
210;B;2;;1
211;B;2;;1
212;B;2;;1
213;B;4;;0
214;B;2;;1
215;B;2;;1
216;B;2;;1
217;B;4;;0
218;B;2;;1
219;B;2;;1
220;B;4;;0
221;B;2;;1
222;B;4;;0
223;B;2;;1
224;B;4;;0
225;B;2;;1
226;B;2;;1
227;B;2;;1
228;B;4;;0
229;B;4;;0
230;B;2;;1
231;B;2;;1
232;B;2;;1
233;B;4;;0
234;B;4;;0
235;B;2;;1
236;B;2;;1
237;B;2;;1
238;B;4;;0
239;B;4;;0
240;B;2;;1
241;B;2;;1
242;B;2;;1
243;B;2;;1
244;B;2;;1
245;B;2;;1
246;B;4;;0
247;B;4;;0
248;B;4;;0
249;B;2;;1
250;B;4;;0
251;B;2;;1
252;B;4;;0
253;B;2;;1
254;B;4;;0
255;B;2;;1
256;B;2;;1
257;B;4;;0
258;B;2;;1
259;B;2;;1
260;B;4;;0
261;B;2;;1
262;B;4;;0
263;B;4;;0
264;B;2;;1
265;B;4;;0
266;B;2;;1
267;B;2;;1
268;B;2;;1
269;B;2;;1
270;B;2;;1
271;B;4;;0
272;B;4;;0
273;B;2;;1
274;B;4;;0
275;B;2;;1
276;B;2;;1
277;B;2;;1
278;B;4;;0
279;B;4;;0
280;B;2;;1
281;B;2;;1
282;B;2;;1
283;B;4;;0
284;B;2;;1
285;B;2;;1
286;B;4;;0
287;B;2;;1
288;B;2;;1
289;B;2;;1
290;B;4;;0
291;B;4;;0
292;B;4;;0
293;B;2;;1
294;B;4;;0
295;B;4;;0
296;B;2;;1
297;B;4;;0
298;B;4;;0
299;B;2;;1
300;B;2;;1
301;B;4;;0
302;B;2;;1
303;B;2;;1
304;B;4;;0
305;B;4;;0
306;B;2;;1
307;B;2;;1
308;B;2;;1
309;B;2;;1
310;B;4;;0
311;B;2;;1
312;B;2;;1
313;B;2;;1
314;B;2;;1
315;B;2;;1
316;B;2;;1
317;B;2;;1
318;B;2;;1
319;B;4;;0
320;B;4;;0
321;B;2;;1
322;B;2;;1
323;B;2;;1
324;B;2;;1
325;B;4;;0
326;B;2;;1
327;B;4;;0
328;B;4;;0
329;B;4;;0
330;B;2;;1
331;B;2;;1
332;B;2;;1
333;B;4;;0
334;B;4;;0
335;B;2;;1
336;B;2;;1
337;B;4;;0
338;B;4;;0
339;B;2;;1
340;B;4;;0
341;B;2;;1
342;B;2;;1
343;B;3;;0
344;B;3;;0
345;B;3;;0
346;B;3;;0
347;B;3;;0
348;B;3;;0
349;B;3;;0
350;B;3;;0
351;B;3;;0
352;B;3;;0
353;B;3;;0
354;B;3;;0
355;B;3;;0
356;B;3;;0
357;B;3;;0
358;B;3;;0
359;B;3;;0
360;B;3;;0
361;B;3;;0
362;B;3;;0
363;B;3;;0
364;B;3;;0
365;B;3;;0
