ID;Prioritat;anys_sense_captura;Resultat_sorteigs_mateixa_sps;Parroquia
1;1;0;0;6
2;1;0;0;7
3;1;0;0;5
4;1;0;0;6
5;1;0;0;5
6;1;0;0;7
7;1;0;0;4
8;1;0;0;3
9;1;0;0;2
10;1;0;0;7
11;1;0;0;2
12;1;0;0;5
13;1;0;0;2
14;1;0;0;4
15;1;0;0;7
16;1;0;0;6
17;1;0;0;4
18;1;0;0;5
19;1;0;0;4
20;1;0;0;5
21;2;1;1;4
22;2;1;1;6
23;2;1;1;7
24;2;1;1;7
25;2;1;1;6
26;2;1;1;5
27;2;1;0;1
28;2;1;0;6
29;2;1;0;1
30;2;1;0;4
31;2;1;0;2
32;2;1;0;4
33;2;1;0;7
34;2;1;0;4
35;2;1;0;7
36;2;1;0;2
37;2;2;1;1
38;2;2;1;6
39;2;2;1;7
40;2;2;1;4
41;2;2;1;2
42;2;2;1;5
43;2;2;1;1
44;2;2;1;4
45;2;2;1;3
46;2;2;1;1
47;2;2;1;4
48;2;2;1;2
49;2;2;1;5
50;2;2;1;3
51;2;2;1;4
52;2;2;1;3
53;2;2;1;1
54;2;2;1;7
55;2;2;1;7
56;2;2;1;7
57;2;2;1;5
58;2;3;1;1
59;2;3;1;4
60;2;3;1;2
61;3;0;1;4
62;3;0;1;3
63;3;0;0;7
64;3;0;0;7
65;3;0;0;3
66;3;0;0;5
67;3;0;0;3
68;3;0;0;7
69;3;0;0;1
70;3;0;0;3
71;3;0;0;3
72;3;0;0;2
73;3;0;0;1
74;3;0;0;2
75;3;0;0;2
76;3;0;0;5
77;3;0;0;4
78;3;0;0;5
79;3;0;0;7
80;3;0;0;1
81;3;0;0;3
82;3;0;0;7
83;3;0;0;2
84;3;0;0;4
85;3;0;0;1
86;3;0;0;5
87;3;0;0;7
88;3;0;0;5
89;3;0;0;4
90;3;0;0;7
91;3;0;0;6
92;3;0;0;4
93;3;0;0;7
94;3;0;0;4
95;3;0;0;1
96;3;0;0;5
97;3;0;0;3
98;3;0;0;4
99;3;0;0;5
100;3;0;0;1
101;3;0;0;6
102;3;0;0;6
103;3;0;0;7
104;3;0;0;2
105;3;0;0;6
106;3;0;0;7
107;3;0;0;3
108;3;0;0;4
109;3;0;0;4
110;3;0;0;5
111;3;0;0;3
112;3;0;0;1
113;3;0;0;6
114;3;0;0;2
115;3;0;0;2
116;4;0;0;5
117;4;0;0;4
118;4;0;0;4
119;4;0;0;7
120;4;0;0;6
121;4;0;0;1
122;4;0;0;6
123;4;0;0;2
124;4;0;0;3
125;4;0;0;5
126;4;0;0;3
127;4;0;0;7
128;4;0;0;5
129;4;0;0;1
130;4;0;0;2
131;4;0;0;5
132;4;0;0;1
133;4;0;0;6
134;4;0;0;6
135;4;0;0;2
136;4;0;0;7
137;4;0;0;5
138;4;0;0;6
139;4;0;0;3
140;4;0;0;1
141;4;0;0;4
142;4;0;0;7
143;4;0;0;1
144;4;0;0;3
145;4;0;0;6
146;4;0;0;7
147;4;0;0;4
148;4;0;0;5
149;4;0;0;2
150;4;0;0;4
151;4;0;0;6
152;4;0;0;2
153;4;0;0;4
154;4;0;0;4
155;4;0;0;4
156;4;0;0;3
157;4;0;0;4
158;4;0;0;5
159;4;0;0;6
160;4;0;0;6
161;4;0;0;6
162;4;0;0;2
163;4;0;0;4
164;4;0;0;2
165;4;0;0;3
166;4;0;0;6
167;4;0;0;1
168;4;0;0;2
169;4;0;0;1
170;4;0;0;2
171;4;0;0;5
172;4;0;0;2
173;4;0;0;2
174;4;0;0;5
175;4;0;0;1
176;4;0;0;1
177;4;0;0;1
178;4;0;0;5
179;4;0;0;7
180;4;0;0;5
181;4;0;0;7
182;4;0;0;1
183;4;0;0;4
184;4;0;0;1
185;4;0;0;4
186;4;0;0;3
187;4;0;0;1
188;4;0;0;7
189;4;0;0;3
190;4;0;0;5
191;4;0;0;4
192;4;0;0;2
193;4;0;0;7
194;4;0;0;5
195;4;0;0;4
196;4;0;0;2
197;4;0;0;3
198;4;0;0;2
199;4;0;0;3
200;4;0;0;7
201;4;0;0;1
202;4;0;0;6
203;4;0;0;5
204;4;0;0;6
205;4;0;0;3
206;4;0;0;3
207;4;0;0;4
208;4;0;0;5
209;4;0;0;7
210;4;0;0;7
211;4;0;0;4
212;4;0;0;7
213;4;0;0;4
214;4;0;0;1
215;4;0;0;6
216;4;0;0;1
217;4;0;0;7
218;4;0;0;5
219;4;0;0;4
220;4;0;0;7
221;4;0;0;5
222;4;0;0;3
223;4;0;0;5
224;4;0;0;3
225;4;0;0;6
226;4;0;0;2
227;4;0;0;2
228;4;0;0;6
229;4;0;0;7
230;4;0;0;1
231;4;0;0;1
232;4;0;0;2
233;4;0;0;3
234;4;0;0;5
235;4;0;0;1
236;4;0;0;5
237;4;0;0;4
238;4;0;0;7
239;4;0;0;3
240;4;0;0;3
241;4;0;0;7
242;4;0;0;3
243;4;0;0;7
244;4;0;0;5
245;4;0;0;7
246;4;0;0;3
247;4;0;0;6
248;4;0;0;5
249;4;0;0;4
